Nama Perusahaan,Nama Kapal,Ukuran Kapal (GT),Tanggal Keberangkatan,Tanggal Kedatangan,Alat Penangkapan Ikan,Jenis Ikan,Estimasi Nakhoda (kg),Volume Ril (kg),Harga Acuan Ikan per Kg (Rp),Nilai Produksi (Rp),Besar Pungutan Hasil Perikanan
6,4,188,2024-01-17,2024-05-03,0,9,1609,3517,9500,33411500,128974250
6,4,188,2024-01-17,2024-05-03,0,16,750,826,7000,5782000,128974250
6,4,188,2024-01-17,2024-05-03,0,10,400,462,17000,7854000,128974250
11,10,134,2024-02-02,2024-02-03,0,21,1365,1870,22000,41140000,48686050
11,10,134,2024-02-02,2024-02-03,0,11,2534,2666,22000,58652000,48686050
11,10,134,2024-02-02,2024-02-03,0,3,27382,36852,9500,350094000,48686050
11,10,134,2024-02-02,2024-02-03,0,19,1869,1574,8500,13379000,48686050
11,10,134,2024-02-02,2024-02-03,0,9,2115,1271,9500,12074500,48686050
11,10,134,2024-02-02,2024-02-03,0,16,850,893,7000,6251000,48686050
11,10,134,2024-02-02,2024-02-03,0,10,300,310,17000,5270000,48686050
5,20,129,2023-08-12,2024-04-14,0,21,1590,715,22000,15730000,52976750
5,20,129,2023-08-12,2024-04-14,0,11,5350,3519,22000,77418000,52976750
5,20,129,2023-08-12,2024-04-14,0,3,46835,42486,9500,403617000,52976750
5,20,129,2023-08-12,2024-04-14,0,19,1800,1768,8500,15028000,52976750
5,20,129,2023-08-12,2024-04-14,0,9,2785,1163,9500,11048500,52976750
5,20,129,2023-08-12,2024-04-14,0,16,300,324,7000,2268000,52976750
5,20,129,2023-08-12,2024-04-14,0,10,1605,274,17000,4658000,52976750
6,3,126,2024-02-03,2024-04-16,1,21,750,243,22000,5346000,23635400
6,3,126,2024-02-03,2024-04-16,1,11,1200,1551,22000,34122000,23635400
6,3,126,2024-02-03,2024-04-16,1,3,4670,17734,9500,168473000,23635400
6,3,126,2024-02-03,2024-04-16,1,19,584,2097,8500,17824500,23635400
6,3,126,2024-02-03,2024-04-16,1,9,625,811,9500,7704500,23635400
6,3,126,2024-02-03,2024-04-16,1,16,100,140,7000,980000,23635400
6,3,126,2024-02-03,2024-04-16,1,10,100,112,17000,1904000,23635400
6,3,126,2023-12-20,2024-03-01,1,21,3320,3353,22000,73766000,50294050
6,3,126,2023-12-20,2024-03-01,1,11,3600,3685,22000,81070000,50294050
6,3,126,2023-12-20,2024-03-01,1,3,3854,35069,9500,333155500,50294050
6,3,126,2023-12-20,2024-03-01,1,19,990,992,8500,8432000,50294050
6,3,126,2023-12-20,2024-03-01,1,17,15,16,22000,352000,50294050
6,3,126,2023-12-20,2024-03-01,1,16,87,92,7000,644000,50294050
6,3,126,2023-12-20,2024-03-01,1,10,255,213,17000,3621000,50294050
6,3,126,2023-12-20,2024-03-01,1,9,215,200,9500,1900000,50294050
6,4,188,2023-10-30,2024-09-01,0,21,2540,3072,22000,67584000,182097850
6,4,188,2023-10-30,2024-09-01,0,11,4100,19937,22000,438614000,182097850
6,4,188,2023-10-30,2024-09-01,0,3,92300,127783,9500,1213938500,182097850
6,4,188,2023-10-30,2024-09-01,0,19,2900,5857,8500,49784500,182097850
6,4,188,2023-10-30,2024-09-01,0,17,15,408,22000,8976000,182097850
6,4,188,2023-10-30,2024-09-01,0,9,2750,2229,9500,21175500,182097850
6,4,188,2023-10-30,2024-09-01,0,16,1875,1952,7000,13664000,182097850
6,4,188,2023-10-30,2024-09-01,0,10,439,426,17000,7242000,182097850
8,14,188,2023-05-12,2024-01-16,1,21,1050,1692,22000,37224000,138789150
8,14,188,2023-05-12,2024-01-16,1,11,2600,7361,22000,161942000,138789150
8,14,188,2023-05-12,2024-01-16,1,3,90600,112268,9500,1066546000,138789150
8,14,188,2023-05-12,2024-01-16,1,19,1720,6807,8500,57859500,138789150
8,14,188,2023-05-12,2024-01-16,1,9,2450,5082,9500,48279000,138789150
8,14,188,2023-05-12,2024-01-16,1,16,1220,1223,7000,8561000,138789150
8,14,188,2023-05-12,2024-01-16,1,10,456,440,17000,7480000,138789150
6,15,198,2023-06-10,2024-01-21,0,21,1705,3582,22000,78804000,119995550
6,15,198,2023-06-10,2024-01-21,0,11,1871,5843,22000,128546000,119995550
6,15,198,2023-06-10,2024-01-21,0,3,72150,79258,9500,752951000,119995550
6,15,198,2023-06-10,2024-01-21,0,19,1697,10035,8500,85297500,119995550
6,15,198,2023-06-10,2024-01-21,0,9,2248,11862,9500,112689000,119995550
6,15,198,2023-06-10,2024-01-21,0,10,1500,1579,17000,26843000,119995550
6,15,198,2023-06-10,2024-01-21,0,16,2040,2055,7000,14385000,119995550
6,15,198,2023-06-10,2024-01-21,0,17,18,20,22000,440000,119995550
11,10,134,2023-10-10,2024-01-30,0,21,1179,730,22000,16060000,59919600
11,10,134,2023-10-10,2024-01-30,0,11,2732,3240,22000,71280000,59919600
11,10,134,2023-10-10,2024-01-30,0,3,43210,45502,9500,432269000,59919600
11,10,134,2023-10-10,2024-01-30,0,19,2311,5915,8500,50277500,59919600
11,10,134,2023-10-10,2024-01-30,0,9,2954,2257,9500,21441500,59919600
11,10,134,2023-10-10,2024-01-30,0,16,550,534,7000,3738000,59919600
11,10,134,2023-10-10,2024-01-30,0,17,56,44,22000,968000,59919600
11,10,134,2023-10-10,2024-01-30,0,10,190,186,17000,3162000,59919600
8,11,158,2023-09-12,2024-01-18,1,21,1055,1209,22000,26598000,133434100
8,11,158,2023-09-12,2024-01-18,1,11,7326,7443,22000,163746000,133434100
8,11,158,2023-09-12,2024-01-18,1,3,104200,106116,9500,1008102000,133434100
8,11,158,2023-09-12,2024-01-18,1,19,11208,12957,8500,110134500,133434100
8,11,158,2023-09-12,2024-01-18,1,16,764,881,7000,6167000,133434100
8,11,158,2023-09-12,2024-01-18,1,9,1610,1695,9500,16102500,133434100
8,11,158,2023-09-12,2024-01-18,1,17,5,8,22000,176000,133434100
8,11,158,2023-09-12,2024-01-18,1,10,180,195,17000,3315000,133434100
2,13,148,2024-02-16,2024-03-23,0,11,4350,3182,22000,70004000,60425450
2,13,148,2024-02-16,2024-03-23,0,3,45650,51596,9500,490162000,60425450
2,13,148,2024-02-16,2024-03-23,0,21,780,786,22000,17292000,60425450
2,13,148,2024-02-16,2024-03-23,0,18,2100,2145,8500,18232500,60425450
2,13,148,2024-02-16,2024-03-23,0,9,785,692,9500,6574000,60425450
2,13,148,2024-02-16,2024-03-23,0,16,135,192,7000,1344000,60425450
2,13,148,2024-02-16,2024-03-23,0,10,45,38,17000,646000,60425450
10,16,95,2024-02-16,2024-03-23,1,11,200,215,22000,4730000,8177600
10,16,95,2024-02-16,2024-03-23,1,3,7320,7815,9500,74242500,8177600
10,16,95,2024-02-16,2024-03-23,1,21,60,57,22000,1254000,8177600
10,16,95,2024-02-16,2024-03-23,1,9,76,62,9500,589000,8177600
10,16,95,2024-02-16,2024-03-23,1,18,120,113,8500,960500,8177600
8,14,188,2024-02-16,2024-03-23,1,21,2300,2167,22000,47674000,71837300
8,14,188,2024-02-16,2024-03-23,1,11,3100,4761,22000,104742000,71837300
8,14,188,2024-02-16,2024-03-23,1,3,50050,56907,9500,540616500,71837300
8,14,188,2024-02-16,2024-03-23,1,19,1350,1931,8500,16413500,71837300
8,14,188,2024-02-16,2024-03-23,1,9,1200,414,9500,3933000,71837300
8,14,188,2024-02-16,2024-03-23,1,16,280,303,7000,2121000,71837300
8,14,188,2024-02-16,2024-03-23,1,10,170,169,17000,2873000,71837300
4,18,149,2024-02-16,2024-03-23,0,21,2800,2505,22000,55110000,75470350
4,18,149,2024-02-16,2024-03-23,0,11,5000,4917,22000,108174000,75470350
4,18,149,2024-02-16,2024-03-23,0,3,55200,60152,9500,571444000,75470350
4,18,149,2024-02-16,2024-03-23,0,18,1700,1610,8500,13685000,75470350
4,18,149,2024-02-16,2024-03-23,0,9,285,301,9500,2859500,75470350
4,18,149,2024-02-16,2024-03-23,0,16,251,257,7000,1799000,75470350
4,18,149,2024-02-16,2024-03-23,0,10,90,96,17000,1632000,75470350
6,3,126,2023-12-31,2024-04-17,1,3,34000,33066,9500,314127000,39461050
6,3,126,2023-12-31,2024-04-17,1,19,1856,2516,8500,21386000,39461050
6,3,126,2023-12-31,2024-04-17,1,16,15,21,7000,147000,39461050
6,3,126,2023-12-31,2024-04-17,1,9,756,645,9500,6127500,39461050
6,3,126,2023-12-31,2024-04-17,1,10,40,35,17000,595000,39461050
6,3,126,2023-12-31,2024-04-17,1,11,1750,1870,22000,41140000,39461050
6,3,126,2023-12-31,2024-04-17,1,21,453,504,22000,11088000,39461050
5,24,133,2023-12-31,2024-04-17,1,21,550,554,22000,12188000,30244950
5,24,133,2023-12-31,2024-04-17,1,11,2200,2356,22000,51832000,30244950
5,24,133,2023-12-31,2024-04-17,1,3,25156,24629,9500,233975500,30244950
5,24,133,2023-12-31,2024-04-17,1,16,140,136,7000,952000,30244950
5,24,133,2023-12-31,2024-04-17,1,10,257,206,17000,3502000,30244950
11,10,134,2023-12-31,2024-04-17,0,21,350,358,22000,7876000,20651700
11,10,134,2023-12-31,2024-04-17,0,11,1380,1375,22000,30250000,20651700
11,10,134,2023-12-31,2024-04-17,0,3,15437,15223,9500,144618500,20651700
11,10,134,2023-12-31,2024-04-17,0,19,1800,1711,8500,14543500,20651700
11,10,134,2023-12-31,2024-04-17,0,10,145,126,17000,2142000,20651700
11,10,134,2023-12-31,2024-04-17,0,9,879,746,9500,7087000,20651700
5,24,133,2023-12-28,2024-05-28,1,3,44035,53073,9500,504193500,59115650
5,24,133,2023-12-28,2024-05-28,1,9,1625,1627,9500,15456500,59115650
5,24,133,2023-12-28,2024-05-28,1,10,90,90,17000,1530000,59115650
5,24,133,2023-12-28,2024-05-28,1,11,1820,2024,22000,44528000,59115650
5,24,133,2023-12-28,2024-05-28,1,19,886,781,8500,6638500,59115650
5,24,133,2023-12-28,2024-05-28,1,21,960,855,22000,18810000,59115650
11,5,138,2024-11-05,2024-05-20,0,11,1250,1029,22000,22638000,37984150
11,5,138,2024-11-05,2024-05-20,0,3,33780,35925,9500,341287500,37984150
11,5,138,2024-11-05,2024-05-20,0,10,80,120,17000,2040000,37984150
11,5,138,2024-11-05,2024-05-20,0,9,650,657,9500,6241500,37984150
11,5,138,2024-11-05,2024-05-20,0,19,345,257,8500,2184500,37984150
11,5,138,2024-11-05,2024-05-20,0,16,80,84,7000,588000,37984150
11,5,138,2024-11-05,2024-05-20,0,21,190,221,22000,4862000,37984150
11,10,134,2024-11-05,2024-05-20,0,3,43650,14278,9500,135641000,15304800
11,10,134,2024-11-05,2024-05-20,0,11,1450,631,22000,13882000,15304800
11,10,134,2024-11-05,2024-05-20,0,21,89,93,22000,2046000,15304800
11,10,134,2024-11-05,2024-05-20,0,10,130,87,17000,1479000,15304800
5,9,134,2024-04-25,2024-05-05,0,3,33850,33602,9500,319219000,40570550
5,9,134,2024-04-25,2024-05-05,0,19,700,722,8500,6137000,40570550
5,9,134,2024-04-25,2024-05-05,0,16,650,559,7000,3913000,40570550
5,9,134,2024-04-25,2024-05-05,0,9,1900,1389,9500,13195500,40570550
5,9,134,2024-04-25,2024-05-05,0,10,120,191,17000,3247000,40570550
5,9,134,2024-04-25,2024-05-05,0,11,1790,2636,22000,57992000,40570550
5,9,134,2024-04-25,2024-05-05,0,21,60,53,22000,1166000,40570550
5,9,134,2024-04-25,2024-05-05,0,17,45,38,22000,836000,40570550
5,24,133,2024-04-25,2024-05-05,1,3,28200,29371,9500,279024500,35386750
5,24,133,2024-04-25,2024-05-05,1,19,1530,679,8500,5771500,35386750
5,24,133,2024-04-25,2024-05-05,1,16,450,549,7000,3843000,35386750
5,24,133,2024-04-25,2024-05-05,1,9,1000,1028,9500,9766000,35386750
5,24,133,2024-04-25,2024-05-05,1,10,80,175,17000,2975000,35386750
5,24,133,2024-04-25,2024-05-05,1,11,1868,1923,22000,42306000,35386750
5,24,133,2024-04-25,2024-05-05,1,21,432,357,22000,7854000,35386750
5,24,133,2024-04-25,2024-05-05,1,17,15,25,22000,550000,35386750
5,24,133,2024-04-25,2024-05-05,1,7,78,79,22500,1777500,35386750
5,15,198,2024-04-25,2024-05-05,0,3,8100,8521,9500,80949500,10177450
5,15,198,2024-04-25,2024-05-05,0,19,200,211,8500,1793500,10177450
5,15,198,2024-04-25,2024-05-05,0,16,80,287,7000,2009000,10177450
5,15,198,2024-04-25,2024-05-05,0,9,345,261,9500,2479500,10177450
5,15,198,2024-04-25,2024-05-05,0,10,150,35,17000,595000,10177450
5,15,198,2024-04-25,2024-05-05,0,11,432,538,22000,11836000,10177450
5,15,198,2024-04-25,2024-05-05,0,21,90,96,22000,2112000,10177450
8,11,158,2024-09-05,2024-07-06,1,21,2000,908,22000,19976000,41128750
8,11,158,2024-09-05,2024-07-06,1,11,300,1907,22000,41954000,41128750
8,11,158,2024-09-05,2024-07-06,1,3,36000,35202,9500,334419000,41128750
8,11,158,2024-09-05,2024-07-06,1,19,1500,1481,8500,12588500,41128750
8,11,158,2024-09-05,2024-07-06,1,16,400,105,7000,735000,41128750
8,11,158,2024-09-05,2024-07-06,1,10,200,95,17000,1615000,41128750
8,14,188,2024-09-05,2024-07-06,1,21,3000,2932,22000,64504000,60461350
8,14,188,2024-09-05,2024-07-06,1,11,500,829,22000,18238000,60461350
8,14,188,2024-09-05,2024-07-06,1,3,51000,51348,9500,487806000,60461350
8,14,188,2024-09-05,2024-07-06,1,19,1500,1688,8500,14348000,60461350
8,14,188,2024-09-05,2024-07-06,1,20,200,155,8500,1317500,60461350
8,14,188,2024-09-05,2024-07-06,1,16,700,712,7000,4984000,60461350
8,14,188,2024-09-05,2024-07-06,1,10,300,322,17000,5474000,60461350
8,14,188,2024-09-05,2024-07-06,1,9,800,836,9500,7942000,60461350
6,4,188,2024-09-05,2024-07-06,0,21,1000,1052,22000,23144000,23887970
6,4,188,2024-09-05,2024-07-06,0,11,2500,2510,22000,55220000,23887970
6,4,188,2024-09-05,2024-07-06,0,3,16000,16003,9500,152028500,23887970
6,4,188,2024-09-05,2024-07-06,0,10,200,310,17000,5270000,23887970
6,4,188,2024-09-05,2024-07-06,0,16,100,108,7000,756000,23887970
6,4,188,2024-09-05,2024-07-06,0,7,50,56,22500,1260000,23887970
6,4,188,2024-09-05,2024-07-06,0,5,150,154,7800,1201200,23887970
4,18,149,2024-09-05,2024-07-06,0,21,3500,1240,22000,27280000,64362000
4,18,149,2024-09-05,2024-07-06,0,11,500,3010,22000,66220000,64362000
4,18,149,2024-09-05,2024-07-06,0,3,54000,53455,9500,507822500,64362000
4,18,149,2024-09-05,2024-07-06,0,19,2000,2376,8500,20196000,64362000
4,18,149,2024-09-05,2024-07-06,0,16,600,803,7000,5621000,64362000
4,18,149,2024-09-05,2024-07-06,0,10,100,495,17000,8415000,64362000
4,18,149,2024-09-05,2024-07-06,0,9,1000,849,9500,8065500,64362000
10,16,95,2024-09-05,2024-07-06,1,21,1500,1280,22000,28160000,19885300
10,16,95,2024-09-05,2024-07-06,1,11,200,405,22000,8910000,19885300
10,16,95,2024-09-05,2024-07-06,1,3,15000,15101,9500,143459500,19885300
10,16,95,2024-09-05,2024-07-06,1,19,1000,987,8500,8389500,19885300
10,16,95,2024-09-05,2024-07-06,1,16,200,461,7000,3227000,19885300
10,16,95,2024-09-05,2024-07-06,1,9,700,706,9500,6707000,19885300
5,9,134,2024-05-31,2024-12-06,0,3,27655,26186,9500,248767000,39259900
5,9,134,2024-05-31,2024-12-06,0,11,2250,2146,22000,47212000,39259900
5,9,134,2024-05-31,2024-12-06,0,21,500,504,22000,11088000,39259900
5,9,134,2024-05-31,2024-12-06,0,9,2000,1925,9500,18287500,39259900
5,9,134,2024-05-31,2024-12-06,0,19,6500,6879,8500,58471500,39259900
5,9,134,2024-05-31,2024-12-06,0,16,850,515,7000,3605000,39259900
5,9,134,2024-05-31,2024-12-06,0,10,275,304,17000,5168000,39259900
5,20,129,2024-05-31,2024-12-06,0,21,540,520,22000,11440000,41973150
5,20,129,2024-05-31,2024-12-06,0,11,3000,1515,22000,33330000,41973150
5,20,129,2024-05-31,2024-12-06,0,3,38620,38705,9500,367697500,41973150
5,20,129,2024-05-31,2024-12-06,0,9,453,478,9500,4541000,41973150
5,20,129,2024-05-31,2024-12-06,0,16,345,389,7000,2723000,41973150
6,3,126,2024-04-20,2024-06-20,1,21,200,557,22000,12254000,61490850
6,3,126,2024-04-20,2024-06-20,1,11,700,3385,22000,74470000,61490850
6,3,126,2024-04-20,2024-06-20,1,3,51500,52384,9500,497648000,61490850
6,3,126,2024-04-20,2024-06-20,1,19,300,2121,8500,18028500,61490850
6,3,126,2024-04-20,2024-06-20,1,10,200,244,17000,4148000,61490850
6,3,126,2024-04-20,2024-06-20,1,9,765,880,9500,8360000,61490850
6,15,198,2024-03-18,2024-06-22,0,21,1000,1277,22000,28094000,137498750
6,15,198,2024-03-18,2024-06-22,0,11,7000,5307,22000,116754000,137498750
6,15,198,2024-03-18,2024-06-22,0,3,115000,121541,9500,1154639500,137498750
6,15,198,2024-03-18,2024-06-22,0,18,9000,6152,8500,52292000,137498750
6,15,198,2024-03-18,2024-06-22,0,16,500,778,7000,5446000,137498750
6,15,198,2024-03-18,2024-06-22,0,10,300,163,17000,2771000,137498750
6,15,198,2024-03-18,2024-06-22,0,9,1000,1578,9500,14991000,137498750
1,6,149,2024-03-24,2024-06-24,0,21,825,846,22000,18612000,81232150
1,6,149,2024-03-24,2024-06-24,0,11,1655,2320,22000,51040000,81232150
1,6,149,2024-03-24,2024-06-24,0,3,72527,75441,9500,716689500,81232150
1,6,149,2024-03-24,2024-06-24,0,19,550,1459,8500,12401500,81232150
1,6,149,2024-03-24,2024-06-24,0,10,95,160,17000,2720000,81232150
1,6,149,2024-03-24,2024-06-24,0,9,1021,1143,9500,10858500,81232150
11,10,134,2024-07-03,2024-06-26,0,21,572,659,22000,14498000,43517550
11,10,134,2024-07-03,2024-06-26,0,11,1370,1535,22000,33770000,43517550
11,10,134,2024-07-03,2024-06-26,0,3,34871,38650,9500,367175000,43517550
11,10,134,2024-07-03,2024-06-26,0,19,655,715,8500,6077500,43517550
11,10,134,2024-07-03,2024-06-26,0,10,83,155,17000,2635000,43517550
11,10,134,2024-07-03,2024-06-26,0,9,1086,1160,9500,11020000,43517550
5,20,129,2024-06-19,2024-06-30,0,21,400,410,22000,9020000,21647450
5,20,129,2024-06-19,2024-06-30,0,11,600,625,22000,13750000,21647450
5,20,129,2024-06-19,2024-06-30,0,3,18200,18670,9500,177365000,21647450
5,20,129,2024-06-19,2024-06-30,0,19,1500,1530,8500,13005000,21647450
5,20,129,2024-06-19,2024-06-30,0,9,300,351,9500,3334500,21647450
5,24,133,2024-06-19,2024-06-30,1,21,500,510,22000,11220000,20006800
5,24,133,2024-06-19,2024-06-30,1,11,500,600,22000,13200000,20006800
5,24,133,2024-06-19,2024-06-30,1,3,15700,16314,9500,154983000,20006800
5,24,133,2024-06-19,2024-06-30,1,19,1500,1504,8500,12784000,20006800
5,24,133,2024-06-19,2024-06-30,1,16,400,411,7000,2877000,20006800
5,24,133,2024-06-19,2024-06-30,1,10,100,120,17000,2040000,20006800
5,24,133,2024-06-19,2024-06-30,1,9,300,312,9500,2964000,20006800
5,9,134,2024-06-19,2024-06-30,0,3,35100,36144,9500,343368000,40891800
5,9,134,2024-06-19,2024-06-30,0,11,1200,1200,22000,26400000,40891800
5,9,134,2024-06-19,2024-06-30,0,21,500,500,22000,11000000,40891800
5,9,134,2024-06-19,2024-06-30,0,9,400,400,9500,3800000,40891800
5,9,134,2024-06-19,2024-06-30,0,19,2500,2500,8500,21250000,40891800
5,9,134,2024-06-19,2024-06-30,0,16,200,200,7000,1400000,40891800
5,9,134,2024-06-19,2024-06-30,0,10,100,100,17000,1700000,40891800
5,25,86,2024-10-31,2024-12-28,2,11,310,315,22000,6930000,8120350
5,25,86,2024-10-31,2024-12-28,2,7,265,270,22500,6075000,8120350
5,25,86,2024-10-31,2024-12-28,2,3,1450,1500,9500,14250000,8120350
5,25,86,2024-10-31,2024-12-28,2,14,1805,1820,21100,38402000,8120350
5,25,86,2024-10-31,2024-12-28,2,6,810,815,11500,9372500,8120350
5,25,86,2024-10-31,2024-12-28,2,17,160,165,22000,3630000,8120350
5,25,86,2024-10-31,2024-12-28,2,12,210,212,12000,2544000,8120350
1,6,149,2024-09-18,2024-12-21,0,21,450,531,22000,11682000,73570550
1,6,149,2024-09-18,2024-12-21,0,11,4400,4611,22000,101442000,73570550
1,6,149,2024-09-18,2024-12-21,0,3,62000,63671,9500,604874500,73570550
1,6,149,2024-09-18,2024-12-21,0,18,480,508,8500,4318000,73570550
1,6,149,2024-09-18,2024-12-21,0,16,480,542,7000,3794000,73570550
1,6,149,2024-09-18,2024-12-21,0,9,950,1010,9500,9595000,73570550
6,15,198,2024-12-10,2024-12-25,0,11,6000,6221,22000,136862000,100284000
6,15,198,2024-12-10,2024-12-25,0,3,88000,88482,9500,840579000,100284000
6,15,198,2024-12-10,2024-12-25,0,18,500,601,8500,5108500,100284000
6,15,198,2024-12-10,2024-12-25,0,16,500,897,7000,6279000,100284000
6,15,198,2024-12-10,2024-12-25,0,10,200,257,17000,4369000,100284000
6,15,198,2024-12-10,2024-12-25,0,9,1000,1015,9500,9642500,100284000
0,22,70,2024-05-12,2024-12-16,2,11,70,76,22000,1672000,676200
0,22,70,2024-05-12,2024-12-16,2,21,135,141,22000,3102000,676200
0,22,70,2024-05-12,2024-12-16,2,22,67,71,28000,1988000,676200
5,22,58,2024-12-12,2024-12-25,2,11,215,217,22000,4774000,1723200
5,22,58,2024-12-12,2024-12-25,2,21,1200,1263,22000,27786000,1723200
5,22,58,2024-12-12,2024-12-25,2,22,58,68,28000,1904000,1723200
6,3,126,2024-11-29,2024-12-13,1,21,300,322,22000,7084000,13332400
6,3,126,2024-11-29,2024-12-13,1,11,2000,2122,22000,46684000,13332400
6,3,126,2024-11-29,2024-12-13,1,3,7500,7755,9500,73672500,13332400
6,3,126,2024-11-29,2024-12-13,1,16,235,245,7000,1715000,13332400
6,3,126,2024-11-29,2024-12-13,1,10,100,115,17000,1955000,13332400
6,3,126,2024-11-29,2024-12-13,1,9,200,233,9500,2213500,13332400
9,17,173,2024-11-29,2024-12-13,1,21,100,156,22000,3432000,33319400
9,17,173,2024-11-29,2024-12-13,1,11,2500,2621,22000,57662000,33319400
9,17,173,2024-11-29,2024-12-13,1,3,28000,28156,9500,267482000,33319400
9,17,173,2024-11-29,2024-12-13,1,16,200,220,7000,1540000,33319400
9,17,173,2024-11-29,2024-12-13,1,10,100,114,17000,1938000,33319400
9,17,173,2024-11-29,2024-12-13,1,9,100,120,9500,1140000,33319400
9,19,181,2024-11-29,2024-12-13,1,21,900,926,22000,20372000,24012300
9,19,181,2024-11-29,2024-12-13,1,11,1500,1557,22000,34254000,24012300
9,19,181,2024-11-29,2024-12-13,1,3,18000,18079,9500,171750500,24012300
9,19,181,2024-11-29,2024-12-13,1,16,700,744,7000,5208000,24012300
9,19,181,2024-11-29,2024-12-13,1,10,400,438,17000,7446000,24012300
9,19,181,2024-11-29,2024-12-13,1,9,1000,115,9500,1092500,24012300
11,5,138,2024-11-29,2024-12-13,0,21,200,209,22000,4598000,15168100
11,5,138,2024-11-29,2024-12-13,0,11,3000,3125,22000,68750000,15168100
11,5,138,2024-11-29,2024-12-13,0,3,5500,5943,9500,56458500,15168100
11,5,138,2024-11-29,2024-12-13,0,16,500,523,7000,3661000,15168100
11,5,138,2024-11-29,2024-12-13,0,10,1000,1006,17000,17102000,15168100
11,5,138,2024-11-29,2024-12-13,0,9,100,117,9500,1111500,15168100
0,22,70,2024-11-29,2024-12-13,2,21,235,243,22000,5346000,6248150
0,22,70,2024-11-29,2024-12-13,2,14,1350,1372,21100,28949200,6248150
0,22,70,2024-11-29,2024-12-13,2,6,1200,1327,11500,15260500,6248150
0,22,70,2024-11-29,2024-12-13,2,17,375,381,22000,8382000,6248150
0,22,70,2024-11-29,2024-12-13,2,1,130,159,20200,3211800,6248150
0,22,70,2024-11-29,2024-12-13,2,12,100,111,12000,1332000,6248150
5,21,58,2024-11-29,2024-12-13,2,11,250,459,22000,10098000,2292685
5,21,58,2024-11-29,2024-12-13,2,14,1050,1165,21100,24581500,2292685
5,21,58,2024-11-29,2024-12-13,2,17,150,163,22000,3586000,2292685
5,21,58,2024-11-29,2024-12-13,2,1,250,261,20200,5272200,2292685
5,21,58,2024-11-29,2024-12-13,2,12,175,193,12000,2316000,2292685
6,4,188,2024-06-14,2024-07-19,0,3,46100,46177,9500,438681500,55973250
6,4,188,2024-06-14,2024-07-19,0,11,4850,4850,22000,106700000,55973250
6,4,188,2024-06-14,2024-07-19,0,21,150,231,22000,5082000,55973250
6,4,188,2024-06-14,2024-07-19,0,9,100,902,9500,8569000,55973250
6,4,188,2024-06-14,2024-07-19,0,16,100,100,7000,700000,55973250
7,8,196,2024-06-14,2024-07-19,0,3,46500,45700,9500,434150000,46516850
7,8,196,2024-06-14,2024-07-19,0,11,750,837,22000,18414000,46516850
7,8,196,2024-06-14,2024-07-19,0,21,250,401,22000,8822000,46516850
7,8,196,2024-06-14,2024-07-19,0,18,210,215,8500,1827500,46516850
7,8,196,2024-06-14,2024-07-19,0,10,100,115,17000,1955000,46516850
8,11,158,2024-06-14,2024-07-19,1,3,41500,41638,9500,395561000,54838900
8,11,158,2024-06-14,2024-07-19,1,11,3300,3754,22000,82588000,54838900
8,11,158,2024-06-14,2024-07-19,1,21,200,393,22000,8646000,54838900
8,11,158,2024-06-14,2024-07-19,1,9,950,1452,9500,13794000,54838900
